street_name,year,month,legal_p_at_12,legal_p_at_17,legal_p_at_22,parked_cars_at_12,parked_cars_at_17,parked_cars_at_22,occupancy_at_12_pct,occupancy_at_17_pct,occupancy_at_22_pct,wkb_geometry
1. Tværvej,2012,3,25,25,25,26,34,31,104.0,136.0,124.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2013,3,25,25,25,14,14,14,56.0,56.0,56.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2013,9,25,25,25,29,32,31,116.0,128.0,124.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2014,3,27,27,27,29,30,31,107.0,111.0,115.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2014,9,27,27,27,26,33,32,96.0,122.0,119.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2015,3,27,27,27,30,32,32,111.0,119.0,119.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2015,9,27,27,27,28,32,33,104.0,119.0,122.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2016,3,27,27,27,31,32,33,115.0,119.0,122.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2016,9,27,27,27,27,27,30,100.0,100.0,111.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2017,3,27,27,27,27,26,29,100.0,96.0,107.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2017,9,27,27,27,30,31,32,111.0,115.0,119.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2018,3,27,27,27,32,31,32,119.0,115.0,119.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2018,9,27,27,27,29,29,29,107.0,107.0,107.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2019,3,27,27,27,29,29,31,107.0,107.0,115.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
