FID,district,street_code,street_name,no_of_spaces,year_creation,year_correction,coordinates
p_pladser.105,Amager Vest,36,Agerbo,2,2004,2021,"[(55.644001850135716, 12.590315839627987), (55.64389146635274, 12.590303989726)]"
p_pladser.106,Amager Vest,36,Agerbo,6,2004,2021,"[(55.644392425290995, 12.590355401702784), (55.64414599515625, 12.590330142241772), (55.644085857599045, 12.590324128071918)]"
p_pladser.107,Amager Vest,36,Agerbo,2,2004,2021,"[(55.644568431941906, 12.59037232543858), (55.64453798682182, 12.59036973178779), (55.64443661119357, 12.590359643054525)]"
p_pladser.108,Amager Vest,36,Agerbo,6,2004,2021,"[(55.64381120892006, 12.590295531949208), (55.64352034718139, 12.590266018222927)]"
p_pladser.109,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.64095043031323, 12.594550108827375), (55.64094834892803, 12.594431393423756)]"
p_pladser.110,Amager Vest,40,Agerlandsvej,4,2006,2012,"[(55.64102851411003, 12.598699675535688), (55.641021604156194, 12.59830803086101)]"
p_pladser.111,Amager Vest,40,Agerlandsvej,2,2006,2012,"[(55.641013585144144, 12.597861610572632), (55.64101069059417, 12.597690513149264)]"
p_pladser.112,Amager Vest,40,Agerlandsvej,7,2006,2012,"[(55.64100716963342, 12.597509236779025), (55.64099604018877, 12.596891331518584)]"
p_pladser.113,Amager Vest,40,Agerlandsvej,2,2006,2012,"[(55.641019617649526, 12.598205360875783), (55.641015479425114, 12.597978885987775)]"
p_pladser.114,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.64094700105639, 12.594353925253264), (55.64094552695934, 12.594269502971306)]"
p_pladser.115,Amager Vest,40,Agerlandsvej,2,2006,2012,"[(55.640920690069606, 12.59299054806729), (55.6409167393468, 12.59276985008912)]"
p_pladser.116,Amager Vest,40,Agerlandsvej,3,2006,2012,"[(55.640903583517634, 12.59207321264135), (55.64089858512835, 12.591815335035179)]"
p_pladser.117,Amager Vest,40,Agerlandsvej,2,2006,2012,"[(55.64090910605481, 12.592380723814713), (55.640906297463026, 12.592214571420971)]"
p_pladser.118,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.64091361060514, 12.592598187757588), (55.640910898308945, 12.592455904871626)]"
p_pladser.119,Amager Vest,40,Agerlandsvej,2,2006,2012,"[(55.640925040513594, 12.593233601265501), (55.64092232157477, 12.59308169480963)]"
p_pladser.120,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.64092893208015, 12.593436488342359), (55.64092665632444, 12.59331994445473)]"
p_pladser.121,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.640973409808716, 12.59569073335242), (55.64097186450001, 12.595610953925105)]"
p_pladser.122,Amager Vest,40,Agerlandsvej,3,2006,2012,"[(55.64093757857238, 12.59387933631878), (55.64093230876824, 12.593609422636074)]"
p_pladser.123,Amager Vest,40,Agerlandsvej,3,2006,2012,"[(55.64098446379067, 12.596322135709679), (55.640979967217476, 12.596066868774987)]"
p_pladser.124,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.64097832978313, 12.59597392041362), (55.64097586091802, 12.595833783768093)]"
p_pladser.125,Amager Vest,40,Agerlandsvej,1,2006,2012,"[(55.64095444957689, 12.594767604949093), (55.64095290450091, 12.594684654131786)]"
p_pladser.126,Amager Vest,40,Agerlandsvej,4,2006,2012,"[(55.64096401501044, 12.595225258278923), (55.640956577856706, 12.594862753185735)]"
p_pladser.127,Amager Vest,40,Agerlandsvej,2,2006,2012,"[(55.640970275533, 12.595530452093765), (55.64096676915327, 12.595359515236785)]"
p_pladser.271,Amager Vest,92,Alperosevej,2,2006,2024,"[(55.646678638614894, 12.61035370513568), (55.64667513045547, 12.610188857547882)]"
p_pladser.272,Amager Vest,92,Alperosevej,7,2006,2024,"[(55.64674067701288, 12.611105301737954), (55.64672685565989, 12.61048189948862)]"
p_pladser.273,Amager Vest,92,Alperosevej,3,2006,2024,"[(55.64675247521315, 12.611602173129809), (55.646746471327596, 12.6113044231571)]"
p_pladser.300,Amager Vest,104,Amager Boulevard,4,2003,2021,"[(55.66594042970046, 12.596942880727521), (55.665860665283496, 12.597270687982952)]"
p_pladser.301,Amager Vest,104,Amager Boulevard,7,2003,2022,"[(55.66590381045216, 12.59792684434495), (55.66604580338948, 12.597348101453347)]"
p_pladser.302,Amager Vest,104,Amager Boulevard,10,2003,2021,"[(55.66576820608708, 12.597639835459145), (55.66567344390794, 12.598029366494682), (55.665568907493935, 12.598463507826555)]"
p_pladser.303,Amager Vest,104,Amager Boulevard,3,2003,2023,"[(55.66616984561252, 12.596000169129718), (55.66610047768369, 12.596286961964287)]"
p_pladser.304,Amager Vest,104,Amager Boulevard,1,2003,2023,"[(55.66619127981753, 12.595911551389019), (55.66616984561252, 12.596000169129718)]"
p_pladser.305,Amager Vest,104,Amager Boulevard,5,2003,2022,"[(55.66625685654061, 12.596480888171161), (55.666358223919715, 12.5960642023558)]"
p_pladser.306,Amager Vest,108,Amagerbrogade,3,2003,2020,"[(55.64729183538344, 12.613773104742673), (55.64714676753399, 12.613838062434985)]"
p_pladser.308,Amager Vest,108,Amagerbrogade,2,2003,2024,"[(55.65044289498206, 12.612349109176574), (55.65034312552856, 12.612393347155475)]"
p_pladser.309,Amager Vest,108,Amagerbrogade,3,2003,2020,"[(55.64542647573759, 12.614631916821157), (55.64526234245413, 12.614705842266682)]"
p_pladser.312,Amager Vest,108,Amagerbrogade,5,2003,2024,"[(55.65241301332102, 12.611470138830594), (55.65214606819154, 12.61158829973465)]"
p_pladser.313,Amager Vest,108,Amagerbrogade,1,2003,2024,"[(55.65405445055779, 12.610688487456999), (55.65400967119629, 12.610710479869693)]"
p_pladser.314,Amager Vest,108,Amagerbrogade,1,2003,2024,"[(55.65247522642245, 12.611442600514717), (55.652430555605676, 12.611462373835694)]"
p_pladser.316,Amager Vest,108,Amagerbrogade,5,2003,2020,"[(55.642990970685105, 12.615815153715907), (55.64274845094131, 12.615935642053293)]"
p_pladser.317,Amager Vest,108,Amagerbrogade,2,2003,2024,"[(55.653850031362545, 12.610788883092605), (55.65380384021328, 12.610811568630282), (55.65374264401758, 12.610841623406957)]"
p_pladser.318,Amager Vest,108,Amagerbrogade,2,2003,2024,"[(55.6518693457695, 12.61171201586371), (55.6517512874204, 12.61176588092525)]"
p_pladser.319,Amager Vest,108,Amagerbrogade,4,2003,2024,"[(55.65135677161101, 12.611940503468306), (55.65115054105246, 12.612033514926283)]"
p_pladser.321,Amager Vest,108,Amagerbrogade,2,2003,2024,"[(55.65280842798682, 12.611289181789601), (55.65268723967256, 12.611344235317194)]"
p_pladser.322,Amager Vest,108,Amagerbrogade,1,2003,2024,"[(55.652948802371334, 12.611225411963252), (55.65287806641466, 12.611257109845347)]"
p_pladser.323,Amager Vest,108,Amagerbrogade,1,2003,2024,"[(55.6530104905333, 12.611197387875213), (55.6529663050017, 12.611217460766913)]"
p_pladser.324,Amager Vest,108,Amagerbrogade,3,2003,2024,"[(55.65060870085945, 12.612274864437747), (55.65047958789683, 12.612332839407761)]"
p_pladser.325,Amager Vest,108,Amagerbrogade,1,2003,2024,"[(55.649302669521084, 12.612862417891835), (55.649239353804745, 12.612891380563672), (55.649231612810475, 12.612894919464066)]"
p_pladser.326,Amager Vest,108,Amagerbrogade,1,2003,2024,"[(55.64921409032252, 12.612902776540553), (55.64916046616648, 12.612926821545743)]"
p_pladser.327,Amager Vest,108,Amagerbrogade,5,2003,2024,"[(55.64886323902989, 12.613060687966868), (55.64860625438774, 12.613176614652877)]"
p_pladser.328,Amager Vest,108,Amagerbrogade,3,2003,2021,"[(55.64488263062199, 12.614895358212554), (55.6448775518426, 12.614893776828957), (55.644727212485414, 12.61496672593355)]"
