FID,vejkode,vejnavn,antal_pladser,restriktion,vejstatus,vejside,bydel,p_ordning,p_type,p_status,rettelsedato,oprettelsesdato,x,id,taelle_id,startdato_midlertidigt_nedlagt,slutdato_midlertidigt_nedlagt,restriktionstype,restriktionstekst,taelle_note,delebilsklub,aendring_p_ordning,uuid,ogc_fid,wkb_geometry
p_pladser.1,0004,Abel Cathrines Gade,10,nej,Offentlig vej,Lige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:16:10.536,2003-05-28T00:00:00,,15287,128,,,,,,,,f091dc0c-e4c1-49d1-8c0e-f2abe9cf3274,1,"MULTILINESTRING ((12.558951218164538 55.67151987967718, 12.559712354787063 55.67130454392531))"
p_pladser.2,0004,Abel Cathrines Gade,4,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:16:13.164,2003-05-28T00:00:00,,15282,128,,,,,,,,f78e2d50-6d05-4efe-82da-ac3306e91544,2,"MULTILINESTRING ((12.559540823191533 55.671430595065814, 12.559837257903178 55.67134719577676))"
p_pladser.3,0004,Abel Cathrines Gade,4,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2025-01-30T09:03:14.719,2003-05-28T00:00:00,,15284,128,,,,,,,,6f1dcd37-a01d-4c43-af33-1ca17476e116,3,"MULTILINESTRING ((12.558251725661727 55.6717938811232, 12.55855041814385 55.671709896567116))"
p_pladser.4,0004,Abel Cathrines Gade,1,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:16:10.193,2003-05-28T00:00:00,,15285,128,,,,,,,,9a26e4f5-758f-48ab-ad0d-e0549ecad115,4,"MULTILINESTRING ((12.55787572262436 55.67189963770022, 12.557997967050476 55.67186525478351))"
p_pladser.5,0004,Abel Cathrines Gade,2,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,oprettet,2021-01-15T20:16:17.972,2003-05-28T00:00:00,,44281,128,,,,,,,,aa712abe-4293-4c75-b991-af4f3f5c74c6,5,"MULTILINESTRING ((12.55863434613667 55.671685523568456, 12.558780742845714 55.67164406376279))"
p_pladser.6,0004,Abel Cathrines Gade,4,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:16:17.214,2003-05-28T00:00:00,,44279,128,,,,,,,,4ef7ed30-b992-4de4-853a-4a1786db2366,6,"MULTILINESTRING ((12.559130041509443 55.6715479489855, 12.559142958299363 55.671544394943155, 12.559462139997622 55.671452884857956))"
p_pladser.7,0004,Abel Cathrines Gade,3,nej,Offentlig vej,Lige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2024-10-07T14:51:36.97,2003-05-28T00:00:00,,15286,128,,,,,,,,e906ea2b-991e-4418-a242-d11dfad2a6a2,7,"MULTILINESTRING ((12.558189517793323 55.67173419336891, 12.558425809843941 55.671668278332135))"
p_pladser.8,0004,Abel Cathrines Gade,1,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Delebil parkering,Uafmærket parkering,,2024-04-15T13:32:43.143,2019-06-13T11:05:27.844,,47200,,,,,,,HYRE,,3540cea3-f44c-4208-9663-7a71dc37bd65,8,"MULTILINESTRING ((12.559059718299144 55.67156744868647, 12.558972594675058 55.67159144184657))"
p_pladser.9,0004,Abel Cathrines Gade,2,nej,Offentlig vej,Lige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2024-10-07T14:51:28.668,2003-05-28T00:00:00,,52866,128,,,,,,,,227351c7-b02c-465c-a8e4-4f10403ca439,9,"MULTILINESTRING ((12.5585867912904 55.67162261988697, 12.558726605774742 55.67158291012052))"
p_pladser.10,0004,Abel Cathrines Gade,1,nej,Offentlig vej,Ulige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,,2022-05-06T08:39:47.412,2003-05-28T00:00:00,,49037,128,,,,,,,,21a79d24-eb19-4728-889e-4557f8aa4b2e,10,"MULTILINESTRING ((12.558089082272557 55.6718396062652, 12.558166207400115 55.67181792185901))"
p_pladser.11,0004,Abel Cathrines Gade,11,nej,Offentlig vej,Lige husnr.,Vesterbro-Kongens Enghave,Grøn betalingszone,Uafmærket parkering,oprettet,2021-01-15T20:16:18.531,2014-07-16T09:58:57.999,,45132,128,,,,,,,,5b9b60ee-f6fd-436b-8d1d-e7bec982a6e1,11,"MULTILINESTRING ((12.56030320435199 55.671134393054544, 12.561169450126298 55.67089038698143))"
p_pladser.12,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.442,2003-04-15T00:00:00,,14342,129,,,,,,,,520beed1-ce41-4952-aeec-94f74c9c0675,12,"MULTILINESTRING ((12.574886946868077 55.691178700779034, 12.574824049272 55.691205896301945))"
p_pladser.13,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.037,2003-04-15T00:00:00,,14336,129,,,,,,,,9c0aa601-fa27-433b-adb6-28fd0dc558f6,13,"MULTILINESTRING ((12.575376158658335 55.6909729638727, 12.575375531962788 55.69097322854373, 12.575296589746035 55.69100654296506))"
p_pladser.14,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.507,2003-04-15T00:00:00,,14343,129,,,,,,,,ca479830-b5af-4836-ba9f-cb47bec1a1b9,14,"MULTILINESTRING ((12.574810844294884 55.69121105155882, 12.574747062977968 55.6912380170169))"
p_pladser.15,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.239,2003-04-15T00:00:00,,14339,129,,,,,,,,fb6df5dd-2334-40b0-8e1c-436e75ed68ab,15,"MULTILINESTRING ((12.575130706513086 55.691076558832464, 12.575130399574324 55.69107668839062, 12.575053226331901 55.691108828169185))"
p_pladser.16,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.173,2003-04-15T00:00:00,,14338,129,,,,,,,,4568256d-468d-4bf8-b6f3-6be72716dc00,16,"MULTILINESTRING ((12.575207113287945 55.69104430930736, 12.575206806356285 55.69104443886398, 12.575143763376381 55.69107104755821, 12.575143456457273 55.6910711771082))"
p_pladser.17,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.971,2003-04-15T00:00:00,,14350,129,,,,,,,,ab99d4c4-943a-47d7-a178-73b93b76845a,17,"MULTILINESTRING ((12.573675648147223 55.691693242650516, 12.573738547324234 55.691666047713376))"
p_pladser.18,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:26.041,2003-04-15T00:00:00,,14351,129,,,,,,,,0cd6fac9-05ee-4337-8c8b-579830778103,18,"MULTILINESTRING ((12.573577510710933 55.69173412531475, 12.573659453877665 55.69169943505832))"
p_pladser.19,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:24.968,2003-04-15T00:00:00,,14335,129,,,,,,,,fe11f263-37f8-4aa0-9715-22aaf7659a78,19,"MULTILINESTRING ((12.575456879465326 55.69093945229682, 12.575389532603866 55.69096731568142, 12.57538890594478 55.69096758033716))"
p_pladser.20,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.906,2003-04-15T00:00:00,,14349,129,,,,,,,,8d548db8-4870-4e41-a55c-fa600df4d45e,20,"MULTILINESTRING ((12.573751345352148 55.69166139168564, 12.573815086564668 55.69163368978576))"
p_pladser.21,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.571,2003-04-15T00:00:00,,14344,129,,,,,,,,c0130ca5-f5cf-41cd-aefc-fffaf5ac3a9f,21,"MULTILINESTRING ((12.574735148822999 55.691242903174086, 12.574670076557622 55.69127013768371))"
p_pladser.22,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.837,2003-04-15T00:00:00,,14348,129,,,,,,,,cc52e44a-4d10-4435-acdb-7b3073abacb2,22,"MULTILINESTRING ((12.57382782926561 55.69162805114095, 12.57389165333295 55.69160182311509))"
p_pladser.23,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.771,2003-04-15T00:00:00,,14347,129,,,,,,,,aa919cde-5f8e-40bc-9a92-427a7ae71a05,23,"MULTILINESTRING ((12.57390445132166 55.69159716707141, 12.573969089767836 55.69156994077617))"
p_pladser.24,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.703,2003-04-15T00:00:00,,14346,129,,,,,,,,e7d7c7b3-1f19-4286-bff9-55c1ee444a0c,24,"MULTILINESTRING ((12.573981832425833 55.69156430211543, 12.574044758839234 55.691537598326676))"
p_pladser.25,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.637,2003-04-15T00:00:00,,14345,129,,,,,,,,cfe018cd-41ad-47e9-9f53-6b03301d0924,25,"MULTILINESTRING ((12.573483498557113 55.69177538104308, 12.573560321999084 55.69174175249601))"
p_pladser.26,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:31.278,2003-04-15T00:00:00,,47472,129,,,,,,,,0511b1f7-6fbc-42ab-8252-0589ab758996,26,"MULTILINESTRING ((12.574064785678676 55.691529299504616, 12.57412771197839 55.69150259567471))"
p_pladser.27,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.375,2003-04-15T00:00:00,,14341,129,,,,,,,,0e1da5de-3787-4d47-9277-980fa18b1aa8,27,"MULTILINESTRING ((12.574963932930638 55.69114657997688, 12.574900600548613 55.69117378335261))"
p_pladser.198,0072,Ahrenkildes Allé,2,nej,Privat fællesvej,Ulige husnr.,Amager Øst,,Uafmærket parkering,,2021-03-03T14:46:26.814,2004-12-22T00:00:00,,26031,6292,,,,,,,,c418ea66-4e8e-47fd-9ed0-847e61aaade8,198,"MULTILINESTRING ((12.619055570330826 55.649546672602916, 12.618876160768815 55.64952352848081))"
p_pladser.28,0008,Abildgaardsgade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Afmærket parkering,,2021-01-15T20:29:25.105,2003-04-15T00:00:00,,14337,129,,,,,,,,adf83895-54b8-4b02-8026-3912c32c577b,28,"MULTILINESTRING ((12.575283836951185 55.69101192271078, 12.575220170089656 55.69103879799853, 12.575219863173018 55.69103892754892))"
